Element,Category,Subcategory,Raw_Score,Normalized_Score,Weighted_Score,Element_Total
Air,Chakra_Guide,Heart,25,100.0,30.0,112.22
Air,Chakra_Guide,Throat,15,50.0,15.0,112.22
Air,Divine_Elements,Hexagon,7,66.67,13.33,112.22
Air,Tree_of_Life_Knowledge,Chokhmah,8,77.78,19.44,112.22
Air,Tree_of_Life_Knowledge,Yesod,8,77.78,19.44,112.22
Air,Tree_of_Life_Experience,Transcendence_Time_Space,60,60.0,15.0,112.22
Earth,Chakra_Guide,Root,20,75.0,22.5,75.83
Earth,Divine_Elements,Egg_of_Life,6,55.56,11.11,75.83
Earth,Tree_of_Life_Knowledge,Malkuth,9,88.89,22.22,75.83
Earth,Tree_of_Life_Experience,Positive_Mood,80,80.0,20.0,75.83
Fire,Chakra_Guide,Solar_Plexus,22,85.0,25.5,76.33
Fire,Divine_Elements,Fruit_of_Life,7,66.67,13.33,76.33
Fire,Tree_of_Life_Knowledge,Gevurah,5,44.44,11.11,76.33
Fire,Tree_of_Life_Knowledge,Netzach,6,55.56,13.89,76.33
Fire,Tree_of_Life_Experience,Noetic_Quality,50,50.0,12.5,76.33
Water,Chakra_Guide,Sacral,18,65.0,19.5,106.58
Water,Divine_Elements,Seed_of_Life,9,88.89,17.78,106.58
Water,Tree_of_Life_Knowledge,Binah,7,66.67,16.67,106.58
Water,Tree_of_Life_Knowledge,Chesed,9,88.89,22.22,106.58
Water,Tree_of_Life_Knowledge,Hod,7,66.67,16.67,106.58
Water,Tree_of_Life_Experience,Ineffability,55,55.0,13.75,106.58
Spirit,Chakra_Guide,Third_Eye,12,35.0,10.5,148.97
Spirit,Chakra_Guide,Crown,10,25.0,7.5,148.97
Spirit,Divine_Elements,Pentagram,8,77.78,15.56,148.97
Spirit,Divine_Elements,Tree_of_Life,10,100.0,20.0,148.97
Spirit,Divine_Elements,Flower_of_Life,9,88.89,17.78,148.97
Spirit,Divine_Elements,Metatrons_Cube,8,77.78,15.56,148.97
Spirit,Tree_of_Life_Knowledge,Keter,6,55.56,13.89,148.97
Spirit,Tree_of_Life_Knowledge,Tiferet,8,77.78,19.44,148.97
Spirit,Tree_of_Life_Experience,Mystical_Unity,45,45.0,11.25,148.97
Spirit,Tree_of_Life_Experience,Sacred_Quality,70,70.0,17.5,148.97
